,val,date
0,1.0,2017-06-17
1,1.0,2017-06-18
2,1.0,2017-06-19
3,1.0,2017-06-20
4,1.0,2017-06-21
5,52.88960091782232,2017-06-22
6,674.5467979754078,2017-06-23
7,405.5370282943647,2017-06-24
8,78.76496917947986,2017-06-25
9,125.50845665200929,2017-06-26
10,131.497525905087,2017-06-27
11,318.1248205006492,2017-06-28
12,210.66035932490388,2017-06-29
13,173.2752219317863,2017-06-30
14,96.90553736732208,2017-07-01
15,124.40822609908174,2017-07-02
16,9.02541680087827,2017-07-03
17,58.31352503385745,2017-07-04
18,86.49828959280491,2017-07-05
19,119.32933270117874,2017-07-06
20,242.8760766725505,2017-07-07
21,78.73608045884923,2017-07-08
22,98.00981233666296,2017-07-09
23,126.67470196409924,2017-07-10
24,121.6685610347966,2017-07-11
25,3.048128792737748,2017-07-12
26,23.77152827875144,2017-07-13
27,17.94114140439378,2017-07-14
28,161.4136044118476,2017-07-15
29,176.29850528794466,2017-07-16
30,301.1353949434176,2017-07-17
31,17.208082656352605,2017-07-18
32,25.842375979180986,2017-07-19
33,114.91418802770498,2017-07-20
34,67.5522760059927,2017-07-21
35,25.416731946981432,2017-07-22
36,37.73248442730103,2017-07-23
37,105.73973536224584,2017-07-24
38,9.883608359378952,2017-07-25
39,65.82114088079808,2017-07-26
40,109.9509180886026,2017-07-27
41,17.36652187719762,2017-07-28
42,61.10518484292559,2017-07-29
43,34.85219487899243,2017-07-30
44,91.43751959202508,2017-07-31
45,68.56349854399532,2017-08-01
46,88.74671479197039,2017-08-02
47,33.49755815166133,2017-08-03
48,109.11664584114054,2017-08-04
49,36.44728383939994,2017-08-05
50,39.73693681891908,2017-08-06
51,185.1936938596449,2017-08-07
52,183.84920701708893,2017-08-08
53,84.90113922255796,2017-08-09
54,147.48892936910124,2017-08-10
55,314.5981291064799,2017-08-11
56,618.5485450541497,2017-08-12
57,185.3499823660284,2017-08-13
58,221.12393533941207,2017-08-14
59,184.49376571013445,2017-08-15
60,169.61496538919226,2017-08-16
61,119.69406557175536,2017-08-17
62,202.33659827613823,2017-08-18
63,63.044754250369294,2017-08-19
64,71.75073012014917,2017-08-20
65,64.82118603733107,2017-08-21
66,116.29440813394464,2017-08-22
67,127.57723306410362,2017-08-23
68,87.12201869587204,2017-08-24
69,208.1120290484401,2017-08-25
70,51.27041285332368,2017-08-26
71,13.0790511970451,2017-08-27
72,175.54506694875457,2017-08-28
73,80.19315110803358,2017-08-29
74,130.024035051742,2017-08-30
75,133.08040258871986,2017-08-31
76,131.6293386486058,2017-09-01
77,105.57754923312343,2017-09-02
78,165.08034061639555,2017-09-03
79,207.9875768309956,2017-09-04
80,132.689547370639,2017-09-05
81,95.56079480599796,2017-09-06
82,125.95544797266982,2017-09-07
83,96.36333357094044,2017-09-08
84,14.571892009349938,2017-09-09
85,96.45725925831022,2017-09-10
86,121.40902900438572,2017-09-11
87,70.38800954129835,2017-09-12
88,101.2796330396954,2017-09-13
89,111.1611449203032,2017-09-14
90,63.29756812007693,2017-09-15
91,30.9956272105914,2017-09-16
92,70.40308003986775,2017-09-17
93,114.62906951052288,2017-09-18
94,120.17579298272598,2017-09-19
95,58.0733241256663,2017-09-20
96,95.3053635980229,2017-09-21
97,87.3735499075313,2017-09-22
98,83.41440247910536,2017-09-23
99,50.81676906926559,2017-09-24
100,50.11683571858934,2017-09-25
101,59.882362907732976,2017-09-26
102,31.65311044196412,2017-09-27
103,134.67774750923132,2017-09-28
104,19.0331715237922,2017-09-29
105,74.12031624309506,2017-09-30
106,110.5009774037206,2017-10-01
107,103.21513828542275,2017-10-02
108,86.36850603017722,2017-10-03
109,51.02812827643872,2017-10-04
110,82.95846416789355,2017-10-05
111,82.68474183481834,2017-10-06
112,54.07065041040775,2017-10-07
113,75.40949557864424,2017-10-08
114,53.00302588272528,2017-10-09
115,106.69817613707475,2017-10-10
116,73.97536964151043,2017-10-11
117,132.18310609378946,2017-10-12
118,245.25330685378032,2017-10-13
119,148.93634744904045,2017-10-14
120,130.74329054920597,2017-10-15
121,129.17077674598045,2017-10-16
122,64.76649983636084,2017-10-17
123,78.0062840206882,2017-10-18
124,110.82175871208908,2017-10-19
125,73.28347656070446,2017-10-20
126,119.98170708184928,2017-10-21
127,30.78291057945765,2017-10-22
128,93.91191436932732,2017-10-23
129,136.67103707410666,2017-10-24
130,48.48923534531001,2017-10-25
131,30.002252633144224,2017-10-26
132,74.35795404177247,2017-10-27
133,27.70855612062177,2017-10-28
134,98.17160294234604,2017-10-29
135,67.98242050026721,2017-10-30
136,85.407905965023,2017-10-31
137,115.87290239552648,2017-11-01
138,179.1525403346898,2017-11-02
139,138.22265555392983,2017-11-03
140,154.26130751054117,2017-11-04
141,238.7224974542812,2017-11-05
142,169.8986317038554,2017-11-06
143,196.1994095326125,2017-11-07
144,410.33147468385897,2017-11-08
145,274.8013180863271,2017-11-09
146,243.92382531742453,2017-11-10
147,213.24636959532785,2017-11-11
148,246.8956394300676,2017-11-12
149,193.64924248728377,2017-11-13
150,57.76298569436804,2017-11-14
151,177.1640639491479,2017-11-15
152,186.60114613751784,2017-11-16
153,133.3939557863856,2017-11-17
154,104.85365546988768,2017-11-18
155,234.8490982071608,2017-11-19
156,83.68087141264482,2017-11-20
157,81.69021779782327,2017-11-21
158,231.60559717805376,2017-11-22
159,224.74422926272504,2017-11-23
160,351.70686266582624,2017-11-24
161,205.9259949520245,2017-11-25
162,199.810994510382,2017-11-26
163,147.50199822694802,2017-11-27
164,169.38703346847294,2017-11-28
165,146.36642369865547,2017-11-29
166,154.23471099888798,2017-11-30
167,111.25478272629704,2017-12-01
168,87.66836318674109,2017-12-02
169,155.42840131267616,2017-12-03
170,189.896092611018,2017-12-04
171,63.65837062503493,2017-12-05
172,173.67703778873437,2017-12-06
173,178.90833413835094,2017-12-07
174,204.6878851707804,2017-12-08
175,238.0533741957113,2017-12-09
176,182.00184084720016,2017-12-10
177,133.53988416544348,2017-12-11
178,386.4245846061111,2017-12-12
179,167.00074045100467,2017-12-13
180,217.1498665321913,2017-12-14
181,148.34181956248608,2017-12-15
